"zero.receive.level","actual.receive.level","source.level","distance","Sound.type","time","date","magic.x","noise.level","ExcessAttenuation","dBdoubledist","Call.category"
-8.2797698332559,53.9017468510982,0,47,"1_Phaser1","640",20190823,-33.5178603885092,57.476719489218,2.58,-10.0898813674189,"Phaser1"
-8.9833143839305,53.1982023004236,0,94,"1_Phaser1","640",20190823,-16.2711440022455,58.6731945416507,-2.22,-4.89810240844399,"Phaser1"
-15.2743851747407,46.9071315096134,0,143,"1_Phaser1","640",20190823,-20.8364402325573,55.7805400412533,0.47,-6.27239351285954,"Phaser1"
-4.3914308693617,57.7900858149924,0,192,"1_Phaser1","640",20190823,-5.09482121922761,62.8774099109676,-12.91,-1.53369400953285,"Phaser1"
-11.7501881786632,50.4313285056909,0,232,"1_Phaser1","640",20190823,-12.4369694813473,55.5360955454743,-7.15,-3.74390086904306,"Phaser1"
-8.15938778856329,57.5694594562258,0,47,"1_Upsweep1","640",20190823,-33.0305342129574,57.476719489218,2.46,-9.94318157090554,"Upsweep1"
-10.798369859889,54.9304773849001,0,94,"1_Upsweep1","640",20190823,-19.5586866350865,58.6731945416507,-0.4,-5.88775135295325,"Upsweep1"
-16.2265852416763,49.5022620031128,0,143,"1_Upsweep1","640",20190823,-22.1353769529008,55.7805400412533,1.43,-6.66341242815232,"Upsweep1"
-8.83846414116909,56.89038310362,0,192,"1_Upsweep1","640",20190823,-10.2541508659468,62.8774099109676,-8.46,-3.08680699071376,"Upsweep1"
-15.9337163013744,49.7951309434147,0,232,"1_Upsweep1","640",20190823,-16.8650187002524,55.5360955454743,-2.97,-5.07687650620995,"Upsweep1"
-8.1896179724052,57.2010551871619,0,47,"1_Downsweep1","640",20190823,-33.1529109338008,57.476719489218,2.49,-9.9800206346504,"Downsweep1"
-10.971968342242,54.4187048173251,0,94,"1_Downsweep1","640",20190823,-19.8731191245015,58.6731945416507,-0.23,-5.98240496387847,"Downsweep1"
-13.9372389586465,51.4534342009206,0,143,"1_Downsweep1","640",20190823,-19.0123820531217,55.7805400412533,-0.86,-5.72329728701316,"Downsweep1"
-9.6086194813298,55.7820536782373,0,192,"1_Downsweep1","640",20190823,-11.14766459436,62.8774099109676,-7.69,-3.3557814245037,"Downsweep1"
-17.8132897231386,47.5773834364285,0,232,"1_Downsweep1","640",20190823,-18.8544504377697,55.5360955454743,-1.09,-5.67575513352857,"Downsweep1"
-8.18892163203219,57.1671399795414,0,47,"1_Upsweep2","640",20190823,-33.150092034257,57.476719489218,2.49,-9.97917206133297,"Upsweep2"
-11.2332141875676,54.122847424006,0,94,"1_Upsweep2","640",20190823,-20.3463040301623,58.6731945416507,0.03,-6.12484781397779,"Upsweep2"
-18.655021420759,46.7010401908146,0,143,"1_Upsweep2","640",20190823,-25.4481103117344,55.7805400412533,3.86,-7.66064453679792,"Upsweep2"
-9.52719241241499,55.8288691991586,0,192,"1_Upsweep2","640",20190823,-11.0531950761396,62.8774099109676,-7.77,-3.32734326584344,"Upsweep2"
-15.9116299882266,49.444431623347,0,232,"1_Upsweep2","640",20190823,-16.8416414744244,55.5360955454743,-2.99,-5.0698392600203,"Upsweep2"
-8.40522911650289,57.0331348157637,0,47,"1_Downsweep2","640",20190823,-34.0257400548527,57.476719489218,2.71,-10.2427683811761,"Downsweep2"
-11.3626859462187,54.0756779860479,0,94,"1_Downsweep2","640",20190823,-20.5808114223342,58.6731945416507,0.16,-6.19544157322648,"Downsweep2"
-18.7464794753485,46.6918844569181,0,143,"1_Downsweep2","640",20190823,-25.5728721444654,55.7805400412533,3.95,-7.69820159076396,"Downsweep2"
-9.7752157145614,55.6631482177052,0,192,"1_Downsweep2","640",20190823,-11.3409451102924,62.8774099109676,-7.52,-3.41396465737676,"Downsweep2"
-14.1168756778864,51.3214882543802,0,232,"1_Downsweep2","640",20190823,-14.9419864012614,55.5360955454743,-4.78,-4.49798610158298,"Downsweep2"
-8.1078019127249,57.2019697403709,0,47,"1_Upsweep3","640",20190823,-32.8217061634836,57.476719489218,2.41,-9.88031806407794,"Upsweep3"
-10.9002637381503,54.4095079149455,0,94,"1_Upsweep3","640",20190823,-19.7432432358332,58.6731945416507,-0.3,-5.94330842567578,"Upsweep3"
-17.5915597313174,47.7182119217784,0,143,"1_Upsweep3","640",20190823,-23.9973968670906,55.7805400412533,2.79,-7.22393627484711,"Upsweep3"
-9.36114830605819,55.9486233470376,0,192,"1_Upsweep3","640",20190823,-10.8605551231128,62.8774099109676,-7.94,-3.26935286161907,"Upsweep3"
-11.9852637399753,53.3245079131205,0,232,"1_Upsweep3","640",20190823,-12.6857848651859,55.5360955454743,-6.91,-3.8188017629611,"Upsweep3"
-8.09912860881489,57.2337939442569,0,47,"1_Downsweep3","640",20190823,-32.7865952128875,57.476719489218,2.4,-9.86974861477224,"Downsweep3"
-10.7009208404847,54.6320017125871,0,94,"1_Downsweep3","640",20190823,-19.3821808422534,58.6731945416507,-0.5,-5.83461781490203,"Downsweep3"
-17.165004850964,48.1679177021078,0,143,"1_Downsweep3","640",20190823,-23.4155151632635,55.7805400412533,2.37,-7.0487724280671,"Downsweep3"
-9.6312339295459,55.7016886235259,0,192,"1_Downsweep3","640",20190823,-11.1739012753098,62.8774099109676,-7.67,-3.36367945245625,"Downsweep3"
-13.0180778384618,52.31484471461,0,232,"1_Downsweep3","640",20190823,-13.7789654362092,55.5360955454743,-5.88,-4.14788190551619,"Downsweep3"
-7.1949897683704,54.2686749709255,0,47,"1_Phaser2","640",20190823,-29.1264935390309,57.476719489218,1.49,-8.76794822376146,"Phaser2"
-7.3010730698862,54.1625916694097,0,94,"1_Phaser2","640",20190823,-13.2241627325813,58.6731945416507,-3.9,-3.98086965004873,"Phaser2"
-14.1825208396298,47.2811438996661,0,143,"1_Phaser2","640",20190823,-19.3469815276517,55.7805400412533,-0.62,-5.82402176538011,"Phaser2"
-4.0624498805035,57.4012148587924,0,192,"1_Phaser2","640",20190823,-4.71314623159406,62.8774099109676,-13.24,-1.41879838966047,"Phaser2"
-7.422326465487,54.0413382738089,0,232,"1_Phaser2","640",20190823,-7.85615058484627,55.5360955454743,-11.48,-2.36493697649185,"Phaser2"
-8.2617039172242,63.4057266368578,0,47,"1_Hfunstart","640",20190823,-33.4447266102115,43.1924068703419,2.56,-10.067865906455,"Hfunstart"
-17.8053398871907,53.8620906668913,0,94,"1_Hfunstart","640",20190823,-32.2501514398349,43.6418194321809,6.61,-9.70826294809625,"Hfunstart"
-21.0612010532192,50.6062295008628,0,143,"1_Hfunstart","640",20190823,-28.7304825661322,37.0433364836008,6.26,-8.64873704230686,"Hfunstart"
-19.1983820828978,52.4690484711842,0,192,"1_Hfunstart","640",20190823,-22.2734519386853,38.0427943858118,1.9,-6.70497714052433,"Hfunstart"
-21.5985775783423,50.0688529757397,0,232,"1_Hfunstart","640",20190823,-22.8609828283547,36.3045811510439,2.7,-6.88184156169397,"Hfunstart"
-9.4448928513822,59.63888168745,0,47,"1_Hfuntrill","640",20190823,-38.2344686328762,44.5042791393583,3.74,-11.5097219267693,"Hfuntrill"
