"zero.receive.level","actual.receive.level","source.level","distance","Sound.type","time","date","magic.x","noise.level","ExcessAttenuation","habitat","playback.num","dBdoubledist","Call.category"
-45.4422700613443,31.5345079292444,0,100,"1_Phaser1",200,20190812,-45.4422700613443,63.9984613149868,25.4422700613443,"MS","87",-13.6794863595279,"Phaser1"
NA,NA,0,250,"1_Phaser1",1621,20190811,NA,65.9299529912175,NA,"MS","87",NA,"Phaser1"
-49.2243464082472,27.7524315823415,0,500,"1_Phaser1",1521,20190811,-28.9730520742682,66.227133916663,-16.7756535917528,"MS","87",-8.72175774028927,"Phaser1"
-39.7652467377703,41.7011198314478,0,100,"1_Upsweep1",200,20190812,-39.7652467377703,63.9984613149868,19.7652467377703,"MS","87",-11.9705320530481,"Upsweep1"
-52.138387827682,29.3279787415361,0,250,"1_Upsweep1",1621,20190811,-37.2965846204019,65.9299529912175,24.138387827682,"MS","87",-11.2273907065609,"Upsweep1"
-53.162002122192,28.3043644470261,0,500,"1_Upsweep1",1521,20190811,-31.2907243721283,66.227133916663,-12.837997877808,"MS","87",-9.41944662206462,"Upsweep1"
-40.6847736420068,41.0782058506052,0,100,"1_Downsweep1",200,20190812,-40.6847736420068,63.9984613149868,20.6847736420068,"MS","87",-12.2473372330434,"Downsweep1"
-52.9842173125847,28.7787621800273,0,250,"1_Downsweep1",1621,20190811,-37.9016388284907,65.9299529912175,24.9842173125847,"MS","87",-11.4095301721983,"Downsweep1"
-54.948032327289,26.814947165323,0,500,"1_Downsweep1",1521,20190811,-32.3419673019851,66.227133916663,-11.051967672711,"MS","87",-9.7359022766812,"Downsweep1"
-41.1461519966253,40.7792546970397,0,100,"1_Upsweep2",200,20190812,-41.1461519966253,63.9984613149868,21.1461519966253,"MS","87",-12.3862259571336,"Upsweep2"
-52.8040705608813,29.1213361327837,0,250,"1_Upsweep2",1621,20190811,-37.7727729611531,65.9299529912175,24.8040705608813,"MS","87",-11.3707376807125,"Upsweep2"
-52.9826423999519,28.9427642937131,0,500,"1_Upsweep2",1521,20190811,-31.1851546906258,66.227133916663,-13.0173576000481,"MS","87",-9.38766698129966,"Upsweep2"
-41.1324677518996,40.7793046435353,0,100,"1_Downsweep2",200,20190812,-41.1324677518996,63.9984613149868,21.1324677518996,"MS","87",-12.3821065890032,"Downsweep2"
-53.5090242770791,28.4027481183558,0,250,"1_Downsweep2",1621,20190811,-38.2770533392986,65.9299529912175,25.5090242770791,"MS","87",-11.522541200759,"Downsweep2"
-55.0162468192551,26.8955255761798,0,500,"1_Downsweep2",1521,20190811,-32.3821178001057,66.227133916663,-10.9837531807449,"MS","87",-9.74798878095636,"Downsweep2"
-41.0155464246803,40.7998150406551,0,100,"1_Upsweep3",200,20190812,-41.0155464246803,63.9984613149868,21.0155464246803,"MS","87",-12.3469097623773,"Upsweep3"
-53.6188323001667,28.1965291651687,0,250,"1_Upsweep3",1621,20190811,-38.3556032215585,65.9299529912175,25.6188323001667,"MS","87",-11.5461870714751,"Upsweep3"
-51.9526501658201,29.8627112995153,0,500,"1_Upsweep3",1521,20190811,-30.5789095941832,66.227133916663,-14.0473498341799,"MS","87",-9.20516902254623,"Upsweep3"
-41.1837479209756,40.6463558182745,0,100,"1_Downsweep3",200,20190812,-41.1837479209756,63.9984613149868,21.1837479209756,"MS","87",-12.3975434580778,"Downsweep3"
-52.6285943781715,29.2015093610786,0,250,"1_Downsweep3",1621,20190811,-37.6472481306016,65.9299529912175,24.6285943781715,"MS","87",-11.3329509415158,"Downsweep3"
-54.5292301432939,27.3008735959562,0,500,"1_Downsweep3",1521,20190811,-32.0954637245669,66.227133916663,-11.4707698567061,"MS","87",-9.66169730583983,"Downsweep3"
-36.5178940809596,40.0297653779176,0,100,"1_Phaser2",200,20190812,-36.5178940809596,63.9984613149868,16.5178940809596,"MS","87",-10.992981496849,"Phaser2"
-42.1249364403907,34.4227230184865,0,250,"1_Phaser2",1621,20190811,-30.1335795377993,65.9299529912175,14.1249364403907,"MS","87",-9.07111131760396,"Phaser2"
-48.4103158846126,28.1373435742646,0,500,"1_Phaser2",1521,20190811,-28.4939202935087,66.227133916663,-17.5896841153874,"MS","87",-8.57752470240474,"Phaser2"
-22.1774879467133,52.9009681142732,0,100,"1_Hfunstart",200,20190812,-22.1774879467133,31.5171369345564,2.1774879467133,"MS","87",-6.6760891004371,"Hfunstart"
-38.9937358031457,36.0847202578408,0,250,"1_Hfunstart",1621,20190811,-27.8937118626339,31.3851977981845,10.9937358031457,"MS","87",-8.39684396106101,"Hfunstart"
-54.6191843800042,20.4592716809823,0,500,"1_Hfunstart",1521,20190811,-32.1484100605709,31.4889481446253,-11.3808156199958,"MS","87",-9.67763574113754,"Hfunstart"
-22.0919362098858,42.2103089607812,0,100,"1_Pmor_start",200,20190812,-22.0919362098858,34.8270735379651,2.09193620988581,"MS","87",-6.65033546147087,"Pmor"
-37.750203692133,26.552041478534,0,250,"1_Pmor_start",1621,20190811,-27.0041657424152,34.8551974965756,9.75020369213301,"MS","87",-8.12906389634867,"Pmor"
-44.9374682573351,19.3647769133319,0,500,"1_Pmor_start",1521,20190811,-26.4498302751951,35.0952747708116,-21.0625317426649,"MS","87",-7.96219229305501,"Pmor"
-23.4090950429026,49.0007325497312,0,100,"1_Pmor_P1",200,20190812,-23.4090950429026,35.7195133186488,3.40909504290261,"MS","87",-7.0468397792627,"Pmor"
-38.9586757758639,33.4511518167699,0,250,"1_Pmor_P1",1621,20190811,-27.8686320830551,35.8244155039662,10.9586757758639,"MS","87",-8.38929419512317,"Pmor"
-50.9931429952097,21.4166845974241,0,500,"1_Pmor_P1",1521,20190811,-30.0141514359099,36.0057978315667,-15.0068570047903,"MS","87",-9.03515987661002,"Pmor"
-30.0088071135941,46.4192624082748,0,100,"1_Hfuntrill",200,20190812,-30.0088071135941,33.593535054985,10.0088071135941,"MS","87",-9.03355107528648,"Hfuntrill"
-48.8133735668162,27.6146959550527,0,250,"1_Hfuntrill",1621,20190811,-34.9180746412617,33.4724293279004,20.8133735668162,"MS","87",-10.5113878578536,"Hfuntrill"
-64.3702251979568,12.0578443239121,0,500,"1_Hfuntrill",1521,20190811,-37.8877938007585,33.4747481780989,-1.62977480204319,"MS","87",-11.4053624035601,"Hfuntrill"
-19.7722793093237,54.8645697411364,0,100,"1_Pmor_P2",200,20190812,-19.7722793093237,32.536881102201,-0.2277206906763,"MS","87",-5.95204915475274,"Pmor"
-37.9538129087879,36.6830361416722,0,250,"1_Pmor_P2",1621,20190811,-27.1498152090531,32.7719170978386,9.9538129087879,"MS","87",-8.17290875465914,"Pmor"
-54.0077762457455,20.6290728047146,0,500,"1_Pmor_P2",1521,20190811,-31.7885401789966,32.9895962649992,-11.9922237542545,"MS","87",-9.56930411224763,"Pmor"
-21.129271736859,53.3981477820674,0,100,"1_Pmor_P3",200,20190812,-21.129271736859,32.4141419395748,1.129271736859,"MS","87",-6.36054457932974,"Pmor"
-37.756879403618,36.7705401153084,0,250,"1_Pmor_P3",1621,20190811,-27.0089411343802,32.5250044035667,9.75687940361799,"MS","87",-8.13050143257119,"Pmor"
-52.9774300460308,21.5499894728956,0,500,"1_Pmor_P3",1521,20190811,-31.1820867412754,32.8434887578518,-13.0225699539692,"MS","87",-9.38674343652002,"Pmor"
-22.0832705874794,49.6823801941998,0,100,"1_Pmor_P4",200,20190812,-22.0832705874794,32.1484074566509,2.0832705874794,"MS","87",-6.64772684919545,"Pmor"
-39.1376197786196,32.6280310030596,0,250,"1_Pmor_P4",1621,20190811,-27.9966375780303,32.33769469378,11.1376197786196,"MS","87",-8.42782768872052,"Pmor"
-53.784329027943,17.9813217537362,0,500,"1_Pmor_P4",1521,20190811,-31.6570209542709,32.6149164155968,-12.215670972057,"MS","87",-9.52971288059872,"Pmor"
-22.2576736478435,48.5886617046328,0,100,"1_Pmor_P5",200,20190812,-22.2576736478435,32.2437735757815,2.2576736478435,"MS","87",-6.70022740170064,"Pmor"
-37.7938093746123,33.052525977864,0,250,"1_Pmor_P5",1621,20190811,-27.0353585562761,32.2545047342524,9.7938093746123,"MS","87",-8.13845386896998,"Pmor"
-48.9499892873425,21.8963460651338,0,500,"1_Pmor_P5",1521,20190811,-28.8115676924342,32.6118524446756,-17.0500107126575,"MS","87",-8.67314609752598,"Pmor"
-23.4757071719624,52.2721668771812,0,100,"1_Pmor_P6",200,20190812,-23.4757071719624,32.6699028074558,3.47570717196241,"MS","87",-7.06689202818473,"Pmor"
-38.3105519110538,37.4373221380898,0,250,"1_Pmor_P6",1621,20190811,-27.4050042729993,32.7991810838928,10.3105519110538,"MS","87",-8.24972831747235,"Pmor"
-55.5106586011927,20.2372154479509,0,500,"1_Pmor_P6",1521,20190811,-32.6731245751964,33.0933140933065,-10.4893413988073,"MS","87",-9.83559054920009,"Pmor"
-23.2250161695467,48.9155948131943,0,100,"1_Pmor_P7",200,20190812,-23.2250161695467,33.3395475535478,3.22501616954669,"MS","87",-6.99142651681453,"Pmor"
-38.814706133551,33.32590484919,0,250,"1_Pmor_P7",1621,20190811,-27.7656450868895,33.3458476817028,10.814706133551,"MS","87",-8.35829202011398,"Pmor"
-50.8828670676215,21.2577439151195,0,500,"1_Pmor_P7",1521,20190811,-29.9492439170562,33.6964756893359,-15.1171329323785,"MS","87",-9.01562076649095,"Pmor"
-21.9349834067164,45.427674961578,0,100,"1_Pmor_P8",200,20190812,-21.9349834067164,33.5462327430939,1.93498340671641,"MS","87",-6.60308795981334,"Pmor"
-40.9873962428124,26.375262125482,0,250,"1_Pmor_P8",1621,20190811,-29.3198534905286,33.5258704366976,12.9873962428124,"MS","87",-8.82615536912238,"Pmor"
-49.8229908342854,17.539667534009,0,500,"1_Pmor_P8",1521,20190811,-29.3254093404415,33.9375552437956,-16.1770091657146,"MS","87",-8.82782784659758,"Pmor"
-22.769198544976,44.3021661524622,0,100,"1_Pmor_P9",200,20190812,-22.769198544976,34.7471365606945,2.769198544976,"MS","87",-6.85421173926645,"Pmor"
-38.1977200064718,28.8736446909664,0,250,"1_Pmor_P9",1621,20190811,-27.3242912925551,34.7603302113082,10.1977200064718,"MS","87",-8.22543128931923,"Pmor"
-45.6125855934754,21.4587791039628,0,500,"1_Pmor_P9",1521,20190811,-26.8471988775937,35.1187858449228,-20.3874144065246,"MS","87",-8.08181216171208,"Pmor"
-25.8793070852242,40.4291844627548,0,100,"1_Pmor_P10",200,20190812,-25.8793070852242,34.7471365606945,5.87930708522421,"MS","87",-7.79044769965188,"Pmor"
-42.4864124915554,23.8220790564236,0,250,"1_Pmor_P10",1621,20190811,-30.3921571941524,34.7603302113082,14.4864124915554,"MS","87",-9.14895094837475,"Pmor"
-44.5078129284193,21.8006786195597,0,500,"1_Pmor_P10",1521,20190811,-26.1969386244777,35.1187858449228,-21.4921870715807,"MS","87",-7.8860643205361,"Pmor"
-27.4342722180553,42.4373976316909,0,100,"1_Halbstart",200,20190812,-27.4342722180553,32.9907291564469,7.4342722180553,"MS","87",-8.25853884684567,"Halbstart"
-43.7224909960488,26.1491788536974,0,250,"1_Halbstart",1621,20190811,-31.276371464311,32.8326726357296,15.7224909960488,"MS","87",-9.41512596628661,"Halbstart"
-57.8286594768203,12.0430103729259,0,500,"1_Halbstart",1521,20190811,-34.0374811381208,32.9049610540108,-8.1713405231797,"MS","87",-10.2463027994214,"Halbstart"
-31.8927771259393,46.0193722984605,0,100,"1_Halbpeak",200,20190812,-31.8927771259393,32.5587408485429,11.8927771259393,"MS","87",-9.60068255993382,"Halbpeak"
-52.2885441093639,25.6236053150359,0,250,"1_Halbpeak",1621,20190811,-37.4039971565268,32.438155164467,24.2885441093639,"MS","87",-11.2597251018448,"Halbpeak"
-65.8641962190706,12.0479532053292,0,500,"1_Halbpeak",1521,20190811,-38.7671330576618,32.4354629505989,-0.135803780929393,"MS","87",-11.6700698962529,"Halbpeak"
-22.7124786067678,43.5114313039239,0,100,"1_Halbend",200,20190812,-22.7124786067678,33.0840550979456,2.7124786067678,"MS","87",-6.83713733651358,"Halbend"
-41.6531633166184,24.5707465940733,0,250,"1_Halbend",1621,20190811,-29.7961021633443,33.1478472435111,13.6531633166184,"MS","87",-8.96952050503507,"Halbend"
-54.7640736777683,11.4598362329234,0,500,"1_Halbend",1521,20190811,-32.2336907290902,33.4329656701016,-11.2359263222317,"MS","87",-9.70330778041214,"Halbend"
-29.4717839843516,44.9650093803843,0,100,"1_PwurP_P1",200,20190812,-29.4717839843516,29.434947143848,9.4717839843516,"MS","87",-8.87189100501915,"PwurP"
-45.0949398179062,29.3418535468297,0,250,"1_PwurP_P1",1621,20190811,-32.2581366426044,29.3348562589059,17.0949398179062,"MS","87",-9.71066673365132,"PwurP"
-69.9119108134737,4.52488255126216,0,500,"1_PwurP_P1",1521,20190811,-41.1495851221907,29.3741761206098,3.91191081347374,"MS","87",-12.3872594309077,"PwurP"
-28.9069472229175,50.2488905042945,0,100,"1_PwurP_P2",200,20190812,-28.9069472229175,30.8906205086808,8.9069472229175,"MS","87",-8.70185819717379,"PwurP"
-44.7656361501851,34.3902015770269,0,250,"1_PwurP_P2",1621,20190811,-32.0225731236563,30.7956416661189,16.7656361501851,"MS","87",-9.63975504856379,"PwurP"
-61.79738129377,17.358456433442,0,500,"1_PwurP_P2",1521,20190811,-36.3734386928869,30.8689862101439,-4.20261870623,"MS","87",-10.9494960920038,"PwurP"
-27.9956783611115,51.1466383895577,0,100,"1_PwurP_P3",200,20190812,-27.9956783611115,30.6573407844501,7.99567836111149,"MS","87",-8.4275389356556,"PwurP"
-44.2424373811443,34.8998793695249,0,250,"1_PwurP_P3",1621,20190811,-31.6483090166166,30.5773177958838,16.2424373811443,"MS","87",-9.52709032604442,"PwurP"
-63.25106450954,15.8912522411292,0,500,"1_PwurP_P3",1521,20190811,-37.2290648734905,30.6488680650496,-2.74893549046001,"MS","87",-11.2070652374409,"PwurP"
-29.9543896268058,39.1898471931397,0,100,"1_PwurP_P4",200,20190812,-29.9543896268058,28.6726972533718,9.95438962680581,"MS","87",-9.01716977947456,"PwurP"
-49.7083926832535,19.435844136692,0,250,"1_PwurP_P4",1621,20190811,-35.5583160757189,28.5851262459372,21.7083926832535,"MS","87",-10.7041197340921,"PwurP"
