"","wav.file","center.freq","high.freq","noise.valuedb","noise.file"
"1","S00974_20190805_084413.wav",100,112,28.5716860271494,2
"2","S00974_20190805_084413.wav",125,141,28.1195023714181,2
"3","S00974_20190805_084413.wav",160,178,27.9664375986897,2
"4","S00974_20190805_084413.wav",200,224,27.5676761609671,2
"5","S00974_20190805_084413.wav",250,282,27.4687080404373,2
"6","S00974_20190805_084413.wav",315,355,27.2644575613331,2
"7","S00974_20190805_084413.wav",400,447,27.1157895065669,2
"8","S00974_20190805_084413.wav",500,562,27.2586478284918,2
"9","S00974_20190805_084413.wav",630,708,27.5553574193185,2
"10","S00974_20190805_084413.wav",800,891,27.5216713114043,2
"11","S00974_20190805_084413.wav",1000,1122,27.410435359935,2
"12","S00974_20190805_084413.wav",1250,1413,27.3647659298501,2
"13","S00974_20190805_084413.wav",1600,1778,27.7085663698469,2
"14","S00974_20190805_084413.wav",2000,2239,27.6911501776317,2
"15","S00974_20190805_084413.wav",2500,2818,28.2796344280876,2
"16","S00974_20190805_084413.wav",3150,3548,34.9807883272282,2
"17","S00974_20190805_084413.wav",4000,4467,28.8946541103371,2
"18","S00974_20190805_084413.wav",5000,5623,28.9330909012441,2
"19","S00974_20190805_084413.wav",6300,7079,30.1700970368403,2
"20","S00974_20190805_144415.wav",100,112,29.0080555479351,2
"21","S00974_20190805_144415.wav",125,141,27.5224028704186,2
"22","S00974_20190805_144415.wav",160,178,28.0981660123619,2
"23","S00974_20190805_144415.wav",200,224,27.8162068136109,2
"24","S00974_20190805_144415.wav",250,282,27.8911670973312,2
"25","S00974_20190805_144415.wav",315,355,27.3101082159668,2
"26","S00974_20190805_144415.wav",400,447,27.1416606488965,2
"27","S00974_20190805_144415.wav",500,562,27.0217133749181,2
"28","S00974_20190805_144415.wav",630,708,27.6779741516458,2
"29","S00974_20190805_144415.wav",800,891,27.4458012139424,2
"30","S00974_20190805_144415.wav",1000,1122,27.749562855394,2
"31","S00974_20190805_144415.wav",1250,1413,27.4008085275086,2
"32","S00974_20190805_144415.wav",1600,1778,27.6200363372641,2
"33","S00974_20190805_144415.wav",2000,2239,27.8885075905267,2
"34","S00974_20190805_144415.wav",2500,2818,28.5903537320836,2
"35","S00974_20190805_144415.wav",3150,3548,34.6454661389435,2
"36","S00974_20190805_144415.wav",4000,4467,28.7641356694661,2
"37","S00974_20190805_144415.wav",5000,5623,28.9132093324805,2
"38","S00974_20190805_144415.wav",6300,7079,29.7898779261077,2
"39","S00974_20190805_154415.wav",100,112,28.2960581946024,2
"40","S00974_20190805_154415.wav",125,141,28.6553525221311,2
"41","S00974_20190805_154415.wav",160,178,27.904376913584,2
"42","S00974_20190805_154415.wav",200,224,27.6051837199379,2
"43","S00974_20190805_154415.wav",250,282,27.3961334316156,2
"44","S00974_20190805_154415.wav",315,355,27.320372188818,2
"45","S00974_20190805_154415.wav",400,447,27.108149694748,2
"46","S00974_20190805_154415.wav",500,562,27.2837038618265,2
"47","S00974_20190805_154415.wav",630,708,27.5513973183202,2
"48","S00974_20190805_154415.wav",800,891,27.2668591751536,2
"49","S00974_20190805_154415.wav",1000,1122,27.5039606862863,2
"50","S00974_20190805_154415.wav",1250,1413,27.5004563210645,2
"51","S00974_20190805_154415.wav",1600,1778,27.7014619391641,2
"52","S00974_20190805_154415.wav",2000,2239,27.580849633164,2
"53","S00974_20190805_154415.wav",2500,2818,27.8163877320766,2
"54","S00974_20190805_154415.wav",3150,3548,28.1896398162895,2
"55","S00974_20190805_154415.wav",4000,4467,28.43560633829,2
"56","S00974_20190805_154415.wav",5000,5623,28.7334017331939,2
"57","S00974_20190805_154415.wav",6300,7079,28.978860671848,2
"58","S00974_20190805_164416.wav",100,112,28.6882234267157,2
"59","S00974_20190805_164416.wav",125,141,28.216277367558,2
"60","S00974_20190805_164416.wav",160,178,28.0619463485558,2
"61","S00974_20190805_164416.wav",200,224,27.3913078754215,2
"62","S00974_20190805_164416.wav",250,282,27.4024646096275,2
"63","S00974_20190805_164416.wav",315,355,27.2351191280657,2
"64","S00974_20190805_164416.wav",400,447,27.310121928272,2
"65","S00974_20190805_164416.wav",500,562,27.0525160769418,2
"66","S00974_20190805_164416.wav",630,708,27.5160093106011,2
"67","S00974_20190805_164416.wav",800,891,27.2645096141968,2
"68","S00974_20190805_164416.wav",1000,1122,27.4749841181919,2
"69","S00974_20190805_164416.wav",1250,1413,27.3317191519575,2
"70","S00974_20190805_164416.wav",1600,1778,27.4764783210565,2
"71","S00974_20190805_164416.wav",2000,2239,27.7172896188852,2
"72","S00974_20190805_164416.wav",2500,2818,27.9716717814684,2
"73","S00974_20190805_164416.wav",3150,3548,28.2715315865408,2
"74","S00974_20190805_164416.wav",4000,4467,28.5157230101271,2
"75","S00974_20190805_164416.wav",5000,5623,28.7748669058968,2
"76","S00974_20190805_164416.wav",6300,7079,33.7612441261351,2
"77","S00974_20190805_174416.wav",100,112,28.4688022174761,2
"78","S00974_20190805_174416.wav",125,141,28.062155745466,2
"79","S00974_20190805_174416.wav",160,178,27.5207234360643,2
"80","S00974_20190805_174416.wav",200,224,27.6762833140506,2
"81","S00974_20190805_174416.wav",250,282,27.2171451087097,2
"82","S00974_20190805_174416.wav",315,355,26.8981950040455,2
"83","S00974_20190805_174416.wav",400,447,27.0316419715694,2
"84","S00974_20190805_174416.wav",500,562,27.0514817612508,2
"85","S00974_20190805_174416.wav",630,708,27.0981444449082,2
"86","S00974_20190805_174416.wav",800,891,27.2174449446547,2
"87","S00974_20190805_174416.wav",1000,1122,27.4076789474595,2
"88","S00974_20190805_174416.wav",1250,1413,27.1987745198433,2
"89","S00974_20190805_174416.wav",1600,1778,27.5941807292413,2
"90","S00974_20190805_174416.wav",2000,2239,27.5683285592466,2
"91","S00974_20190805_174416.wav",2500,2818,35.2446492645379,2
"92","S00974_20190805_174416.wav",3150,3548,41.4415219946844,2
"93","S00974_20190805_174416.wav",4000,4467,47.2165201445423,2
"94","S00974_20190805_174416.wav",5000,5623,40.2777723765022,2
"95","S00974_20190805_174416.wav",6300,7079,36.317226100051,2
"96","S00974_20190805_184416.wav",100,112,28.0303759365654,2
"97","S00974_20190805_184416.wav",125,141,27.80441531148,2
"98","S00974_20190805_184416.wav",160,178,27.6506553310087,2
"99","S00974_20190805_184416.wav",200,224,27.5606030620463,2
"100","S00974_20190805_184416.wav",250,282,27.5079059049446,2
"101","S00974_20190805_184416.wav",315,355,26.9596661883128,2
"102","S00974_20190805_184416.wav",400,447,26.9006981061394,2
"103","S00974_20190805_184416.wav",500,562,27.3068737978078,2
"104","S00974_20190805_184416.wav",630,708,27.4108600713819,2
"105","S00974_20190805_184416.wav",800,891,27.5296778651548,2
"106","S00974_20190805_184416.wav",1000,1122,27.1881113596711,2
"107","S00974_20190805_184416.wav",1250,1413,27.6065583961384,2
"108","S00974_20190805_184416.wav",1600,1778,27.6875439566402,2
"109","S00974_20190805_184416.wav",2000,2239,27.6605545371004,2
"110","S00974_20190805_184416.wav",2500,2818,28.9744821247822,2
"111","S00974_20190805_184416.wav",3150,3548,32.5615634806753,2
"112","S00974_20190805_184416.wav",4000,4467,42.4862139442396,2
"113","S00974_20190805_184416.wav",5000,5623,38.2553574420398,2
"114","S00974_20190805_184416.wav",6300,7079,38.8663538214012,2
"115","S00974_20190805_194417.wav",100,112,27.8461024169417,2
"116","S00974_20190805_194417.wav",125,141,28.5322005214329,2
"117","S00974_20190805_194417.wav",160,178,28.0412358312229,2
"118","S00974_20190805_194417.wav",200,224,27.7286331013261,2
"119","S00974_20190805_194417.wav",250,282,27.5278186312012,2
"120","S00974_20190805_194417.wav",315,355,27.7191744753157,2
"121","S00974_20190805_194417.wav",400,447,27.3206723805444,2
"122","S00974_20190805_194417.wav",500,562,27.6563782652159,2
"123","S00974_20190805_194417.wav",630,708,27.6823983846956,2
"124","S00974_20190805_194417.wav",800,891,27.5358360632749,2
"125","S00974_20190805_194417.wav",1000,1122,27.693124213246,2
"126","S00974_20190805_194417.wav",1250,1413,27.7752594799919,2
"127","S00974_20190805_194417.wav",1600,1778,28.0343647327274,2
"128","S00974_20190805_194417.wav",2000,2239,27.6882557708858,2
