"","zero.receive.level","actual.receive.level","source.level","distance","Sound.type","time","date","magic.x","noise.level","ExcessAttenuation","habitat","playback.num","dBdoubledist","Loc_Name","ARU_ID","Call.category"
"79",-22.1936187315074,52.8835510474616,0,100,"1_Hfunstart",200,20190812,-22.1936187315074,31.7188245704237,2.19361873150739,"MS","87",-6.68094495051372,"7 (S4A07360)","S00976","Hfunstart"
"80",-39.2553051750002,35.8218646039688,0,250,"1_Hfunstart",1621,20190811,-28.080822446945,31.8189577977169,11.2553051750002,"MS","87",-8.45316985944487,"7 (S4A07360)","S00976","Hfunstart"
"81",-54.522842307729,20.55432747124,0,500,"1_Hfunstart",1521,20190811,-32.0917038962305,31.4620609604702,-11.477157692271,"MS","87",-9.66056548473204,"7 (S4A07360)","S00976","Hfunstart"
"82",-22.0614452455906,42.2395283705799,0,100,"1_Pmor_start",200,20190812,-22.0614452455906,34.7583221370735,2.0614452455906,"MS","87",-6.6411567666213,"7 (S4A07360)","S00976","Pmor"
"83",-37.7712820874843,26.5296915286862,0,250,"1_Pmor_start",1621,20190811,-27.0192439254706,34.8637746993103,9.7712820874843,"MS","87",-8.13360288172847,"7 (S4A07360)","S00976","Pmor"
"84",-44.7998107562937,19.5011628598768,0,500,"1_Pmor_start",1521,20190811,-26.3688061837219,35.0727727631516,-21.2001892437063,"MS","87",-7.93780161115018,"7 (S4A07360)","S00976","Pmor"
"85",-23.4413986606319,48.9667624809477,0,100,"1_Pmor_P1",200,20190812,-23.4413986606319,35.8745472640082,3.4413986606319,"MS","87",-7.05656413716767,"7 (S4A07360)","S00976","Pmor"
"86",-39.0586078687792,33.3495532728004,0,250,"1_Pmor_P1",1621,20190811,-27.9401173344217,35.9009350559658,11.0586078687792,"MS","87",-8.41081340003208,"7 (S4A07360)","S00976","Pmor"
"87",-50.578640755092,21.8295203864876,0,500,"1_Pmor_P1",1521,20190811,-29.7701787706716,35.9266094153525,-15.421359244908,"MS","87",-8.96171678625122,"7 (S4A07360)","S00976","Pmor"
"88",-30.0767709783748,46.3500407965717,0,100,"1_Hfuntrill",200,20190812,-30.0767709783748,33.8902636164782,10.0767709783748,"MS","87",-9.05401023720672,"7 (S4A07360)","S00976","Hfuntrill"
"89",-49.6982024929174,26.7286092820291,0,250,"1_Hfuntrill",1621,20190811,-35.5510266425008,33.8913300104888,21.6982024929174,"MS","87",-10.7019253960421,"7 (S4A07360)","S00976","Hfuntrill"
"90",-64.5580630472002,11.8687487277463,0,500,"1_Hfuntrill",1521,20190811,-37.9983536392277,33.4906234242137,-1.44193695279981,"MS","87",-11.4386442312551,"7 (S4A07360)","S00976","Hfuntrill"
"91",-19.8085170605422,54.8231286495195,0,100,"1_Pmor_P2",200,20190812,-19.8085170605422,33.0612123999561,-0.191482939457792,"MS","87",-5.96295780484492,"7 (S4A07360)","S00976","Pmor"
"92",-38.0976247833834,36.5340209266783,0,250,"1_Pmor_P2",1621,20190811,-27.2526893479313,33.0006536386335,10.0976247833834,"MS","87",-8.20387695623958,"7 (S4A07360)","S00976","Pmor"
"93",-53.2395364048591,21.3921093052026,0,500,"1_Pmor_P2",1521,20190811,-31.3363604236591,32.7952463386285,-12.7604635951409,"MS","87",-9.43318444245904,"7 (S4A07360)","S00976","Pmor"
"94",-21.1698800596871,53.3530347646285,0,100,"1_Pmor_P3",200,20190812,-21.1698800596871,32.9040006222646,1.16988005968711,"MS","87",-6.37276890257461,"7 (S4A07360)","S00976","Pmor"
"95",-37.8910528278412,36.6318619964744,0,250,"1_Pmor_P3",1621,20190811,-27.1049205207565,32.7464537441507,9.89105282784121,"MS","87",-8.15939410683588,"7 (S4A07360)","S00976","Pmor"
"96",-52.685407072177,21.8375077521386,0,500,"1_Pmor_P3",1521,20190811,-31.0102043813111,32.7634689988376,-13.314592927823,"MS","87",-9.33500169044526,"7 (S4A07360)","S00976","Pmor"
"97",-22.1506856997053,49.6077346759755,0,100,"1_Pmor_P4",200,20190812,-22.1506856997053,32.6906710609513,2.1506856997053,"MS","87",-6.6680208201365,"7 (S4A07360)","S00976","Pmor"
"98",-39.3657878877918,32.392632487889,0,250,"1_Pmor_P4",1621,20190811,-28.1598549605766,32.5745666280331,11.3657878877918,"MS","87",-8.47696101668072,"7 (S4A07360)","S00976","Pmor"
"99",-52.8459193448623,18.9125010308185,0,500,"1_Pmor_P4",1521,20190811,-31.1046806064803,32.4306528581468,-13.1540806551377,"MS","87",-9.36344186809828,"7 (S4A07360)","S00976","Pmor"
"100",-22.3105866386002,48.5303937516002,0,100,"1_Pmor_P5",200,20190812,-22.3105866386002,32.6169006089391,2.3105866386002,"MS","87",-6.7161557990787,"7 (S4A07360)","S00976","Pmor"
"101",-37.998074166884,32.8429062233164,0,250,"1_Pmor_P5",1621,20190811,-27.1814769812476,32.4786286337209,9.998074166884,"MS","87",-8.18243989780556,"7 (S4A07360)","S00976","Pmor"
"102",-48.7469873301849,22.0939930600155,0,500,"1_Pmor_P5",1521,20190811,-28.6920823827234,32.5534373614644,-17.2530126698151,"MS","87",-8.6371774352618,"7 (S4A07360)","S00976","Pmor"
"103",-23.5251987941131,52.2187239021372,0,100,"1_Pmor_P6",200,20190812,-23.5251987941131,33.1644924623444,3.5251987941131,"MS","87",-7.08179049098616,"7 (S4A07360)","S00976","Pmor"
"104",-38.4587254061605,37.2851972900898,0,250,"1_Pmor_P6",1621,20190811,-27.5109984459877,33.0526688668501,10.4587254061605,"MS","87",-8.28163574290748,"7 (S4A07360)","S00976","Pmor"
