"recorder","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Delta.Time..s.","Inband.Power..dB.FS.","SNR.NIST.Quick..dB.FS.","Sound.Type","file.name","lon","lat","date","time","PowerDb","NoisevalueDb","target.signal"
"M1",92,"Spectrogram 1",1,1450.151442,1453.159157,358.5,900.3,3.0077,-38.62,12.25,"3_Halbend","M1_20190823_080004",116.971518,4.743234012,20190823,800,56.19130147,51.41385478,"y"
"M1",9,"Spectrogram 1",1,2416.486219,2420.974902,580,1080.8,4.4887,-26.69,24.35,"1_Hfunstart","M1_20190823_084004",116.971518,4.743234012,20190823,840,71.22292064,51.90613762,"y"
"M1",12,"Spectrogram 1",1,2421.019519,2427.816279,580,1526.5,6.7968,-29.08,23.69,"1_Hfuntrill","M1_20190823_084004",116.971518,4.743234012,20190823,840,68.78888517,50.07707137,"y"
"M1",22,"Spectrogram 1",1,2483.433322,2490.626599,589.6,1381.6,7.1933,-31.64,16.21,"1_Halbstart","M1_20190823_084004",116.971518,4.743234012,20190823,840,62.01091134,59.61007129,"y"
"M1",23,"Spectrogram 1",1,2490.794863,2495.464184,748.9,1593.5,4.6693,-26.18,21.62,"1_Halbpeak","M1_20190823_084004",116.971518,4.743234012,20190823,840,71.15621185,50.32688485,"n"
"M1",24,"Spectrogram 1",1,2495.851442,2498.859157,358.5,900.3,3.0077,-36.85,12.39,"1_Halbend","M1_20190823_084004",116.971518,4.743234012,20190823,840,58.33697978,52.47191756,"y"
"M1",43,"Spectrogram 1",1,2565.955219,2570.443902,580,1080.8,4.4887,-26.6,23.45,"2_Hfunstart","M1_20190823_084004",116.971518,4.743234012,20190823,840,71.4470459,50.39300417,"n"
"M1",46,"Spectrogram 1",1,2570.488519,2577.285279,580,1526.5,6.7968,-29.05,23.86,"2_Hfuntrill","M1_20190823_084004",116.971518,4.743234012,20190823,840,68.8688967,49.86966323,"y"
"M1",56,"Spectrogram 1",1,2632.902322,2640.095599,589.6,1381.6,7.1933,-31.78,15.21,"2_Halbstart","M1_20190823_084004",116.971518,4.743234012,20190823,840,62.76681516,58.03168381,"y"
"M1",57,"Spectrogram 1",1,2640.263863,2644.933184,748.9,1593.5,4.6693,-26.48,21.4,"2_Halbpeak","M1_20190823_084004",116.971518,4.743234012,20190823,840,70.9074131,48.6125171,"y"
"M1",58,"Spectrogram 1",1,2645.320442,2648.328157,358.5,900.3,3.0077,-37.11,12.69,"2_Halbend","M1_20190823_084004",116.971518,4.743234012,20190823,840,58.31098231,51.85604048,"y"
"M1",77,"Spectrogram 1",1,2715.386219,2719.874902,580,1080.8,4.4887,-26.52,24.02,"3_Hfunstart","M1_20190823_084004",116.971518,4.743234012,20190823,840,71.30052014,52.80341078,"y"
"M1",80,"Spectrogram 1",1,2719.919519,2726.716279,580,1526.5,6.7968,-28.83,23.81,"3_Hfuntrill","M1_20190823_084004",116.971518,4.743234012,20190823,840,69.0259732,50.40510067,"y"
"M1",90,"Spectrogram 1",1,2782.333322,2789.526599,589.6,1381.6,7.1933,-31.81,15.94,"3_Halbstart","M1_20190823_084004",116.971518,4.743234012,20190823,840,62.27930105,58.81733442,"y"
"M1",91,"Spectrogram 1",1,2789.694863,2794.364184,748.9,1593.5,4.6693,-26.25,21.01,"3_Halbpeak","M1_20190823_084004",116.971518,4.743234012,20190823,840,71.18582156,48.63843099,"n"
"M1",92,"Spectrogram 1",1,2794.751442,2797.759157,358.5,900.3,3.0077,-36.74,12.49,"3_Halbend","M1_20190823_084004",116.971518,4.743234012,20190823,840,58.85496888,51.97947509,"y"
"M1",9,"Spectrogram 1",1,1223.736219,1228.224902,580,1080.8,4.4887,-28.31,24.13,"1_Hfunstart","M1_20190823_100005",116.971518,4.743234012,20190823,1000,69.31348136,52.74923352,"y"
"M1",12,"Spectrogram 1",1,1228.269519,1235.066279,580,1526.5,6.7968,-28.75,24.34,"1_Hfuntrill","M1_20190823_100005",116.971518,4.743234012,20190823,1000,68.65202179,54.17420699,"y"
