"zero.receive.level","actual.receive.level","source.level","distance","Sound.type","time","date","magic.x","noise.level","ExcessAttenuation","dBdoubledist"
-8.2668722550395,63.3922353104496,0,46.6261476513004,"1_Hfunstart",640,20190823,-33.4656488856881,43.3294799170101,2.56687225503949,-10.074164138951
-17.7818476523478,53.8772599131413,0,94.1249799510947,"1_Hfunstart",640,20190823,-32.2076008265838,43.5924349075397,6.58184765234779,-9.69545393717377
-21.3402089453828,50.3188986201063,0,142.77924890145,"1_Hfunstart",640,20190823,-29.1110891306926,38.2955600062853,6.54020894538279,-8.76331103478618
-19.3346084665114,52.3244990989777,0,192.107383924136,"1_Hfunstart",640,20190823,-22.431498163367,38.7664040645899,2.0346084665114,-6.75255379485497
-21.5424423629663,50.1166652025228,0,232.478596047512,"1_Hfunstart",640,20190823,-22.8015665918276,36.0675194041058,2.64244236296629,-6.86395549226984
-9.460846813545,59.6220562046253,0,46.6261476513004,"1_Hfuntrill",640,20190823,-38.2990528770261,44.5997537819836,3.760846813545,-11.5291637215058
-12.582563684154,56.5003393340163,0,94.1249799510947,"1_Hfuntrill",640,20190823,-22.7903307033898,45.0558524633612,1.382563684154,-6.86057315282214
-17.6067260384007,51.4761769797696,0,142.77924890145,"1_Hfuntrill",640,20190823,-24.0180858732626,41.0947674280729,2.8067260384007,-7.23016428628536
-17.2363428075175,51.8465602106528,0,192.107383924136,"1_Hfuntrill",640,20190823,-19.9971461899355,40.9340622997366,-0.0636571924824985,-6.01974083084828
-20.3249121304588,48.7579908877115,0,232.478596047512,"1_Hfuntrill",640,20190823,-21.5128734990793,38.680029959647,1.4249121304588,-6.47602021614761
-8.435113052316,57.3996139764117,0,46.6261476513004,"1_Halbstart",640,20190823,-34.1467151071325,44.1757771029517,2.735113052316,-10.2791855006393
-13.4393690437615,52.3953579849662,0,94.1249799510947,"1_Halbstart",640,20190823,-24.3422304580069,44.5337277933187,2.2393690437615,-7.32774152922543
-20.9201926577887,44.914534370939,0,142.77924890145,"1_Halbstart",640,20190823,-28.5381270001068,39.8709750127586,6.1201926577887,-8.59083224710028
-26.0428341132018,39.7918929155259,0,192.107383924136,"1_Halbstart",640,20190823,-30.2142030230914,39.8782950367252,8.7428341132018,-9.09538140503185
-30.9557546492507,34.878972379477,0,232.478596047512,"1_Halbstart",640,20190823,-32.765073204911,37.3161014606357,12.0557546492507,-9.86326984480438
-10.454829364264,60.868783839733,0,46.6261476513004,"1_Halbpeak",640,20190823,-42.3228565617371,42.8493282190435,4.754829364264,-12.740449327267
-12.0615198460879,59.2620933579091,0,94.1249799510947,"1_Halbpeak",640,20190823,-21.8465833337306,43.6404961961737,0.861519846087898,-6.57647688622573
-20.8941276421588,50.4294855618382,0,142.77924890145,"1_Halbpeak",640,20190823,-28.5025706006761,40.4866368210754,6.0941276421588,-8.58012870433386
-28.0592402154063,43.2643729885907,0,192.107383924136,"1_Halbpeak",640,20190823,-32.5535837173809,40.5662971964733,10.7592402154063,-9.79960516529021
-32.5317078496044,38.7919053543926,0,232.478596047512,"1_Halbpeak",640,20190823,-34.4331385634259,38.5168347844328,13.6317078496044,-10.3654075524454
-6.1313132445882,50.5256844607068,0,46.6261476513004,"1_Halbend",640,20190823,-24.8205572701906,45.0042983132295,0.431313244588199,-7.47173224742308
-14.301865799099,42.355131906196,0,94.1249799510947,"1_Halbend",640,20190823,-25.9044388265206,45.8322311326082,3.101865799099,-7.79801310762536
-18.0977064391038,38.5592912661912,0,142.77924890145,"1_Halbend",640,20190823,-24.6878531769882,39.7192406304494,3.2977064391038,-7.43178433482176
-19.2009211418257,37.4560765634693,0,192.107383924136,"1_Halbend",640,20190823,-22.2763976872779,40.2166876464928,1.90092114182569,-6.70586389921038
-22.407515719826,34.249481985469,0,232.478596047512,"1_Halbend",640,20190823,-23.7172022203653,37.9908539328274,3.507515719826,-7.13958928155833
-8.4616673265935,63.2460703168403,0,46.6261476513004,"2_Hfunstart",640,20190823,-34.2542111457756,43.3294799170101,2.7616673265935,-10.3115450326859
-18.4813831333762,53.2263545100576,0,94.1249799510947,"2_Hfunstart",640,20190823,-33.4746434859006,43.5924349075397,7.28138313337621,-10.076871783414
-25.1935283459112,46.5142092975226,0,142.77924890145,"2_Hfunstart",640,20190823,-34.3675664597059,38.2955600062853,10.3935283459112,-10.3456683823468
-29.9351516255543,41.7725860178795,0,192.107383924136,"2_Hfunstart",640,20190823,-34.7299662091318,38.7664040645899,12.6351516255543,-10.4547615773451
-37.5799153231214,34.1278223203124,0,232.478596047512,"2_Hfunstart",640,20190823,-39.7764063757442,36.0675194041058,18.6799153231214,-11.973891438819
-9.5190546150277,59.4780107813682,0,46.6261476513004,"2_Hfuntrill",640,20190823,-38.5346875628821,44.5997537819836,3.8190546150277,-11.6000968299673
-13.0190742612209,55.977991135175,0,94.1249799510947,"2_Hfuntrill",640,20190823,-23.5809661141536,45.0558524633612,1.81907426122089,-7.09857812709614
-20.3918951348911,48.6051702615048,0,142.77924890145,"2_Hfuntrill",640,20190823,-27.8174538185106,41.0947674280729,5.59189513489109,-8.37388800236924
-29.0598489242628,39.9372164721331,0,192.107383924136,"2_Hfuntrill",640,20190823,-33.7144633107711,40.9340622997366,11.7598489242628,-10.1490647442549
-39.656538209036,29.3405271873599,0,232.478596047512,"2_Hfuntrill",640,20190823,-41.9744048302135,38.680029959647,20.756538209036,-12.6355549040374
-8.2690471929015,57.7623631563919,0,46.6261476513004,"2_Halbstart",640,20190823,-33.4744533893253,44.1757771029517,2.5690471929015,-10.0768145586427
